交易时间,商品名称,单价,销售数量
2023-10-07 08:00:00,美式,22,1
2023-10-06 10:00:00,卡布奇诺,30,2
2023-10-03 16:00:00,卡布奇诺,30,2
2023-10-05 12:00:00,美式,22,3
2023-10-01 15:00:00,澳白,28,4
2023-10-02 17:00:00,拿铁,28,3
2023-10-04 13:00:00,卡布奇诺,30,3
2023-10-05 13:00:00,摩卡,32,4
2023-10-07 14:00:00,卡布奇诺,30,2
2023-10-05 09:00:00,拿铁,28,5
2023-10-07 09:00:00,摩卡,32,5
2023-10-04 10:00:00,拿铁,28,4
2023-10-07 09:00:00,澳白,28,2
2023-10-07 08:00:00,拿铁,28,4
2023-10-04 17:00:00,澳白,28,2
2023-10-03 15:00:00,卡布奇诺,30,5
2023-10-07 19:00:00,澳白,28,1
2023-10-02 11:00:00,摩卡,32,4
2023-10-05 14:00:00,澳白,28,4
2023-10-07 16:00:00,美式,22,3
2023-10-04 09:00:00,美式,22,5
2023-10-05 20:00:00,拿铁,28,1
2023-10-06 13:00:00,美式,22,5
2023-10-03 09:00:00,美式,22,1
2023-10-06 09:00:00,摩卡,32,4
2023-10-05 17:00:00,拿铁,28,1
2023-10-02 19:00:00,摩卡,32,2
2023-10-05 15:00:00,摩卡,32,3
2023-10-02 18:00:00,澳白,28,1
2023-10-01 09:00:00,拿铁,28,4
2023-10-07 13:00:00,美式,22,2
2023-10-06 11:00:00,澳白,28,4
2023-10-02 09:00:00,卡布奇诺,30,1
2023-10-03 16:00:00,澳白,28,3
2023-10-06 17:00:00,拿铁,28,4
2023-10-07 15:00:00,澳白,28,4
2023-10-04 20:00:00,拿铁,28,1
2023-10-04 10:00:00,卡布奇诺,30,2
2023-10-06 19:00:00,摩卡,32,1
2023-10-02 10:00:00,卡布奇诺,30,5
2023-10-07 19:00:00,美式,22,2
2023-10-07 15:00:00,卡布奇诺,30,5
2023-10-03 13:00:00,卡布奇诺,30,2
2023-10-03 14:00:00,美式,22,3
2023-10-05 14:00:00,摩卡,32,5
2023-10-07 18:00:00,美式,22,4
2023-10-01 14:00:00,澳白,28,3
2023-10-07 12:00:00,美式,22,4
2023-10-07 13:00:00,美式,22,3
2023-10-01 19:00:00,摩卡,32,2
2023-10-02 15:00:00,澳白,28,2
2023-10-04 12:00:00,美式,22,1
2023-10-07 14:00:00,摩卡,32,4
2023-10-05 18:00:00,拿铁,28,3
2023-10-06 09:00:00,澳白,28,5
2023-10-01 12:00:00,拿铁,28,5
2023-10-02 11:00:00,美式,22,5
2023-10-05 09:00:00,澳白,28,4
2023-10-05 14:00:00,摩卡,32,2
2023-10-01 20:00:00,美式,22,3
2023-10-07 09:00:00,美式,22,5
2023-10-01 08:00:00,卡布奇诺,30,4
2023-10-02 12:00:00,卡布奇诺,30,3
2023-10-06 14:00:00,摩卡,32,1
2023-10-01 11:00:00,卡布奇诺,30,5
2023-10-06 08:00:00,美式,22,2
2023-10-07 08:00:00,拿铁,28,2
2023-10-07 19:00:00,摩卡,32,5
2023-10-03 09:00:00,拿铁,28,5
2023-10-04 09:00:00,美式,22,1
2023-10-05 09:00:00,澳白,28,3
2023-10-04 15:00:00,摩卡,32,1
2023-10-04 17:00:00,澳白,28,2
2023-10-04 20:00:00,卡布奇诺,30,3
2023-10-03 14:00:00,拿铁,28,3
2023-10-05 18:00:00,拿铁,28,4
2023-10-06 16:00:00,美式,22,1
2023-10-05 17:00:00,摩卡,32,4
2023-10-04 16:00:00,拿铁,28,4
2023-10-01 13:00:00,摩卡,32,2
2023-10-06 11:00:00,澳白,28,1
2023-10-04 17:00:00,摩卡,32,1
2023-10-07 09:00:00,卡布奇诺,30,5
2023-10-05 15:00:00,摩卡,32,4
2023-10-03 18:00:00,摩卡,32,4
2023-10-02 13:00:00,美式,22,1
2023-10-04 17:00:00,美式,22,5
2023-10-06 18:00:00,卡布奇诺,30,4
2023-10-04 14:00:00,卡布奇诺,30,3
2023-10-03 08:00:00,澳白,28,2
2023-10-04 17:00:00,美式,22,2
2023-10-01 18:00:00,卡布奇诺,30,1
2023-10-04 17:00:00,卡布奇诺,30,1
2023-10-07 13:00:00,澳白,28,3
2023-10-07 20:00:00,卡布奇诺,30,4
2023-10-06 12:00:00,卡布奇诺,30,5
2023-10-07 12:00:00,摩卡,32,3
2023-10-04 20:00:00,澳白,28,2
2023-10-04 18:00:00,卡布奇诺,30,1
2023-10-06 16:00:00,美式,22,1
